角色名称,角色ID,皮肤ID,皮肤描述,适用场景,图片备注
Bruiser,npc9,yifu1,黑色紧身T恤搭配牛仔裤，突出壮硕体型，偏打手/保镖风,对峙、拦人、安保、威胁感场景,
Gabe,npc10,yifu1,赤膊搭配薄荷绿色泳裤，整体轻松直接，偏海边性感造型,沙滩、泳池、度假互动、身材展示场景,
,,yifu2,白色短袖上衣搭配印花短裤，清爽明快，偏海岛日常风,白天活动、岛上散步、休闲剧情、轻松互动,
,,yifu3,米白/浅色衬衫搭配印花短裤，较 yifu2 更轻松一点,轻约会、白天聊天、聚会过场、海边餐厅场景,
,,yifu4,灰色正式西装，成熟利落，带商务精英感,正式见面、晚宴、关键剧情、严肃对话场景,
,,yifu5,灰色正式西装，成熟利落，带商务精英感，较yifu4更轻松一点,正式对话、站场、活动出席、替换正装场景,
Candy,npc11,yifu1,浅黄色轻盈礼服/舞台装，整体甜美轻快，带表演感,派对暖场、轻演出、白天活动、节目场景,
,,yifu2,裸金/肤金色性感泳装风造型，突出身材曲线,泳池派对、热舞、性感互动、夜场气氛场景,
,,yifu3,黄色系比基尼/舞台短装，整体比 yifu2 更活泼,沙滩派对、泳池互动、白天性感场景,
,,yifu4,银色亮片高开衩演出装，整体更华丽更吸睛,演出、走秀、派对焦点、夜场表演场景,
,,yifu5,绿色热带风舞台装，搭配高跟靴，视觉更夸张,马戏团“竞赛”服饰,
Jake,npc12,yifu1,紫色正式西装，风格夸张醒目，带主持人/反派秀场气质,赌场发牌,
Harley,npc13,npc13,白衬衫搭配深色长裤，整体简洁克制，偏普通日常男NPC,节目主持、宣布流程等场景,
Luna,npc14,yifu1,黑色长袍/斗篷式礼服，整体庄重神秘，带祭司或女巫气质,神秘出场、仪式场景、夜戏、暗线剧情,
Sophie,npc15,yifu1,红蓝配色辣妹风短装，青春张扬，带派对女孩气质,泳池派对、女生群戏、活力互动、热闹场景,
Lana,npc16,yifu1,米白色度假短装，整体干净柔和，偏轻熟海岛风,白天日常、轻约会、海岛散步、普通互动,
Simon,npc17,yifu1,黄黑配色休闲上衣搭配短裤，整体偏户外运动风,综艺活动、白天互动、背景NPC、轻运动场景,
Clyde,npc18,yifu1,蓝灰色运动背心搭配黑色短裤，整体偏健身/训练风,训练、户外活动、节目挑战、海岛日常场景,
Sable,npc19,yifu1,裸粉色拖尾长礼服，整体优雅高贵，偏女神/红毯风,晚宴、正式出场、重要女性角色亮相场景,
,,yifu2,蓝红配色高视觉冲击造型，带舞台女王或主题装感,马戏团“竞赛”服饰,
Samson,npc20,yifu1,黑色西装，衣服上带有很多水钻，时尚感十足,晚宴、主持、酒会、正式社交、成熟对手戏场景,
Jasmine,npc21,yifu1,深蓝/紫色晚礼服，成熟性感，适合高气场女性角色,晚宴、主持、酒会、正式社交、成熟对手戏场景,
Marco,npc22,yifu1,休闲衬衫/背心叠穿搭配牛仔裤，整体粗犷随性，偏工装男风,岛上工作、日常互动、轻粗犷角色场景,
Raymond,npc23,yifu1,薄荷绿色西装外套搭配浅色长裤，整体清爽绅士，偏度假精英风,正式见面、轻晚宴、社交、绅士型出场场景,
Conrad,npc24,yifu1,赤膊搭配荧光绿色泳裤，整体直接张扬，偏海边性感路线,泳池、沙滩、身材展示、热带活动场景,
,,yifu2,格纹/印花衬衫搭配牛仔裤，整体更随性日常，偏岛上休闲风,白天活动、闲聊、散步、日常替换皮肤场景,
,,yifu3,白色绸缎T恤外套豹纹轻薄马甲，下身米色西裤,马戏团“竞赛”服饰,
Caroline,无,无,无,无,无
Margie,无,无,无,无,无
Guest,无,无,无,无,无
Stranger,无,无,无,无,无
